feature,total,total_diff
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,22111.0,55.0
f101_approved_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_min,22105.0,57.0
f501_DAYS_CREDIT_UPDATE_pctchange_std-d-mean,22102.0,20.0
f509_DAYS_ENDDATE_FACT-m-app_DAYS_REGISTRATION,22099.0,187.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_std-d-mean,22096.0,8.0
f706_6,22093.0,9.0
f312_days_weighted_delay_max,22092.0,6.0
f501_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max-d-min,22092.0,28.0
f705_7,22090.0,74.0
f103_approved_HOUR_APPR_PROCESS_START_std-d-mean,22087.0,63.0
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,22082.0,60.0
f101_completed_AMT_GOODS_PRICE-d-AMT_CREDIT_diff_min,22081.0,9.0
f101_approved_AMT_DOWN_PAYMENT_max,22081.0,31.0
f102_nyg-middle_AMT_CREDIT-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL_pctchange_mean,22081.0,85.0
f313_days_weighted_delay_diff_sum,22080.0,68.0
f301_NUM_INSTALMENT_ratio_std,22080.0,66.0
f707_0,22079.0,101.0
f305_notdelay_cas_NUM_INSTALMENT_ratio_mean,22076.0,6.0
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_std-d-mean,22076.0,18.0
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,22074.0,44.0
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,22074.0,2.0
f001_YEARS_BEGINEXPLUATATION_MODE,22073.0,41.0
f501_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_std-d-mean,22073.0,71.0
f101_active_amt_unpaid_std,22072.0,2.0
f106_NAME_CONTRACT_STATUS-Refused,22072.0,64.0
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max-d-min,22069.0,59.0
f510_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL,22067.0,65.0
f706_13,22060.0,74.0
f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,22055.0,149.0
