feature,total
f314_days_weighted_delay_diff_sum,0.02226578548688545
f503_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_std-d-mean,0.02217413491200288
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.02212708769482699
f302_DPD_mean,0.02211190741932829
f509_SK_ID_BUREAU,0.022093059964502747
f507_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_diff_min,0.02206749522129263
f707_3,0.022065707965578704
f505_Active_AMT_CREDIT_MAX_OVERDUE_diff_mean,0.02197892881579115
f501_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,0.02195913296649317
f306_cons_DEP_diff_mean,0.02194777216359011
f330_notdelay_AMT_PAYMENT-d-app_AMT_CREDIT_min,0.02193521509474377
f505_Active_DAYS_CREDIT_UPDATE_diff_std-d-mean,0.021925346703434986
f508_Active_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max,0.021868912297190846
f302_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_std-d-mean,0.021866835188268582
f313_days_delayed_payment_pctchange_var,0.021846370351371408
f510_DAYS_ENDDATE_FACT-m-DAYS_CREDIT,0.021782734626141977
f109_AMT_CREDIT-d-total_debt,0.021772044161614827
f510_AMT_CREDIT_SUM-d-app_AMT_GOODS_PRICE,0.021745863004359798
f310_notdelay_AMT_PAYMENT_mean,0.021710918322458358
f508_Active_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_max,0.02170794382661093
f305_delay_rev_DAYS_ENTRY_PAYMENT_max,0.021702638123096328
f501_DAYS_CREDIT-m-app_DAYS_LAST_PHONE_CHANGE_std-d-mean,0.021677768101384092
f308_cas_DAYS_INSTALMENT_pctchange_min,0.021657307358690377
f101_approved_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_min,0.02164873505748089
f001_EXT_SOURCES_1-2-3,0.021547350270438918
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_sum,0.021535158991237143
