index,split,gain
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Bad-debt-Consumer-credit_sum,3,0.7726959958672523
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Active-currency-4_sum,7,0.5853269739018288
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Loan-for-the-purchase-of-equipment_sum,1,0.5366529822349548
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Closed-currency-4_norm,2,0.4519793912768364
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Another-type-of-loan_sum,1,0.35418498516082764
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Real-estate-loan_sum,2,0.2936460860655643
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Bad-debt-Credit-card_sum,1,0.29064399003982544
bureau_CREDIT_ACTIVE-CREDIT_CURRENCY_Sold-currency-2_sum,2,0.24094869755208492
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Cash-loan-(non-earmarked)_sum,2,0.23870470374822617
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Loan-for-the-purchase-of-equipment_norm,2,0.23251280188560486
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Bad-debt-Consumer-credit_norm,2,0.16576459631323814
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Real-estate-loan_norm,1,0.16095399856567383
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Cash-loan-(non-earmarked)_norm,2,0.14169109985232353
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Cash-loan-(non-earmarked)_norm,1,0.13157400488853455
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Cash-loan-(non-earmarked)_sum,3,0.097782202064991
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Real-estate-loan_sum,1,0.07189880311489105
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Credit-card_sum,1,0.019430700689554214
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Loan-for-business-development_norm,1,0.007923459634184837
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Another-type-of-loan_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Interbank-credit_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Loan-for-purchase-of-shares-(margin-lending)_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-1-Mobile-operator-loan_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Unknown-type-of-loan_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Car-loan_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Loan-for-business-development_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-4-Consumer-credit_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-4-Mortgage_sum,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-4-Consumer-credit_sum,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Loan-for-business-development_sum,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Real-estate-loan_norm,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Cash-loan-(non-earmarked)_norm,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-3-Car-loan_sum,0,0.0
bureau_CREDIT_CURRENCY-CREDIT_TYPE_currency-2-Unknown-type-of-loan_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Loan-for-purchase-of-shares-(margin-lending)_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Loan-for-the-purchase-of-equipment_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Mobile-operator-loan_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Cash-loan-(non-earmarked)_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Interbank-credit_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Loan-for-purchase-of-shares-(margin-lending)_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Closed-Real-estate-loan_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Cash-loan-(non-earmarked)_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Loan-for-business-development_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Loan-for-working-capital-replenishment_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Sold-Real-estate-loan_sum,0,0.0
bureau_CREDIT_ACTIVE-CREDIT_TYPE_Active-Loan-for-purchase-of-shares-(margin-lending)_norm,0,0.0
